 Scan No., Date, Room Id, In/Out, Room Type, MAC, Signal Strength
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:44,-87
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:60,-87
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:62,-88
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:61,-89
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:64,-89
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:59:6a,-91
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:59:68,-93
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-65
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-65
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:52,-65
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-66
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-66
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-66
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-66
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:aa,-66
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:54,-66
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:ac,-67
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-69
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ec,-70
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-70
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ea,-74
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-77
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-77
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4c,-78
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e0,-78
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-79
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e1,-79
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4a,-79
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-80
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:40,-80
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:44,-82
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:42,-82
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-84
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:41,-84
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:62,-86
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:64,-87
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:41:a1,-87
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:61,-89
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:60,-89
5, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:6e:a3,-92
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-60
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-62
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-62
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-64
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:ac,-65
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:aa,-65
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-67
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-67
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-68
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ec,-73
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ea,-74
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-75
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-76
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4c,-76
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4a,-76
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-77
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-78
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-79
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-79
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ea,-79
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ec,-80
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-82
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:41:a1,-86
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:41:a2,-87
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:41:a4,-89
6, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:41:a0,-91
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-65
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-66
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-66
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-66
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:ac,-66
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-67
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:aa,-67
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-71
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-72
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ec,-72
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-72
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ea,-74
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ea,-78
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-79
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ec,-80
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-82
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-82
7, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:6e:a3,-92
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-64
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-65
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-65
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-65
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-66
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-66
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-77
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-77
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-79
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-81
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:08,-84
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:0c,-85
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:0a,-85
8, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:09,-89
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-63
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-65
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-65
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-66
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-67
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-67
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-72
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-74
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:0a,-84
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-86
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-86
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:09,-86
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:0c,-88
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:08,-89
9, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:59:6a,-93
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a1,-61
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a0,-63
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a2,-63
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-66
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-66
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-66
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a4,-66
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-67
10, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-75
