LocationId, ScanNo, Date, Time, RoomId, InOut, RoomType, MAC, SignalStrength, Connected
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-66, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-66, Yes
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-66, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-66, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:aa,-66, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:54,-66, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:ac,-67, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-69, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ec,-70, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-70, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ea,-74, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-77, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-77, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4c,-78, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e0,-78, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-79, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e1,-79, No
